id,olng,olat,dlng,dlat,Ts,OnD,Tr,Cep,Tp,Td,WT,VT,D
256,121.28182,31.327309999999997,121.25911,31.343809999999998,471.94588951417467,True,1810.6717287246477,1810.6717287246477,2286.2706780418844,2758.216567556059,475.5989493172367,471.9458895141747,1.0000000000000002
257,121.27571999999999,31.39075,121.31634,31.296999999999997,1852.562367777714,True,1815.8740714536314,1815.8740714536314,1852.1729006328069,4470.94094449359,36.29882917917553,2618.768043860783,1.4135923785401028
258,121.238289,31.284651,121.200768,31.294613000000002,622.2393647703594,True,1816.6789329288165,1816.6789329288165,2389.3230409264825,3011.5555433984814,572.644107997666,622.2325024719989,0.9999889716100443
259,121.24766000000001,31.373379999999997,121.26031,31.35257,434.5195663200059,True,1825.1830762871675,1825.1830762871675,2220.91091955169,2840.228241924265,395.72784326452233,619.3173223725753,1.425292139586813
260,121.28242,31.415429999999997,121.2747,31.401409,287.10466632012395,True,1825.3772086255817,1825.3772086255817,1840.2986417107356,2134.571115123881,14.921433085153922,294.27247341314546,1.0249658327915483
261,121.25846000000001,31.344790000000003,121.25376000000001,31.330890000000004,268.1292665794103,True,1832.4852016032457,1832.4852016032457,2117.515484557909,2385.6450599082614,285.03028295466333,268.1295753503523,1.0000011515749323
262,121.25917,31.34388,121.25368999999999,31.331,253.9709353017387,True,1841.3923690517995,1841.3923690517995,2428.900174310114,2712.4170666274504,587.5078052583144,283.51689231733644,1.1163359775026802
263,121.24538999999999,31.40587,121.23368,31.3977,239.23907195694883,True,1844.0333622073458,1844.0333622073458,2151.7121891297265,2390.9512610866755,307.6788269223807,239.23907195694892,1.0000000000000004
264,121.276848,31.274404999999998,121.31419,31.29171,672.7825434452258,True,1844.901563115744,1844.901563115744,2415.705987457918,3199.2621395607757,570.8044243421741,783.5561521028576,1.1646499448252263
265,121.31543,31.27304,121.29982,31.271690000000003,248.5232117518368,True,1848.4036642023057,1848.4036642023057,2386.9803393474344,2635.5036384819537,538.5766751451288,248.52329913451922,1.0000003516077303
266,121.20451000000001,31.343441,121.27688700000002,31.319613,1227.8792112695708,True,1848.8941208093559,1848.8941208093559,2240.2466869509453,3890.089809795156,391.3525661415895,1649.8431228442105,1.3436526229142265
267,121.29340400000001,31.340329999999998,121.32171000000001,31.294990000000002,952.301938846349,True,1860.214762468508,1860.214762468508,2052.1863531835193,3181.2167635370874,191.9715907150112,1129.0304103535682,1.1855802916051121
268,121.29831999999999,31.31365,121.32558,31.29883,511.6119146576654,True,1871.3286089249616,1871.3286089249616,2351.7558566058497,2986.627149255868,480.42724768088806,634.8712926500184,1.2409235877057896
269,121.22559,31.38645,121.19111000000001,31.430970000000002,989.0203670377246,True,1894.7785308845253,1894.7785308845253,2484.211424309598,3510.741452901611,589.4328934250727,1026.530028592013,1.0379260759478957
270,121.205482,31.411909,121.24677,31.36556,1079.1072391928078,True,1898.962948601508,1898.962948601508,2013.9740209525362,3792.28733545706,115.01107235102813,1778.313314504524,1.647948646730176
271,121.28053,31.37722,121.21118999999999,31.316159999999996,1576.371918684289,True,1900.0828967451475,1900.0828967451475,2249.6629834750934,4064.520708103405,349.58008672994583,1814.8577246283116,1.1512877786753988
272,121.276657,31.291946000000003,121.26845,31.30322,246.05768095039727,True,1911.8037156162102,1911.8037156162102,2307.8654738744854,2632.7909749065,396.0617582582752,324.92550103201484,1.3205257392372016
273,121.321611,31.297287,121.32065,31.27522,409.23952465316984,True,1918.5745571641291,1918.5745571641291,2330.7238173848455,2801.5319490546544,412.1492602207163,470.808131669809,1.1504463848373847
274,121.17742,31.361929999999997,121.24065,31.387079999999997,1103.7130638599099,True,1928.1584923568885,1928.1584923568885,2166.687991393632,3369.868319683359,238.52949903674335,1203.1803282897272,1.0901205826829303
275,121.26266299999999,31.404821999999996,121.24231999999999,31.36911,735.9361865664379,True,1934.0203527955628,1934.0203527955628,2335.201556732458,3074.200177832949,401.18120393689514,738.9986211004912,1.0041612772818542
276,121.21796,31.31662,121.20433,31.34315,536.9276361927265,True,1935.435354503609,1935.435354503609,2398.712519750972,3181.1431199029694,463.2771652473632,782.4306001519972,1.4572365946742758
277,121.220673,31.383779999999998,121.227924,31.377118,168.53676865518557,True,1936.7686135506287,1936.7686135506287,2225.6436402078957,2411.5017844046192,288.875026657267,185.85814419672352,1.1027750542492971
278,121.21505,31.261670000000002,121.18191000000002,31.285079999999997,681.007855814286,True,1937.6781053932605,1937.6781053932605,-1.0,-1.0,-1,-1,0.0
279,121.27408,31.416179999999997,121.24688,31.391059999999996,633.9038700531529,True,1940.4788492118323,1940.4788492118323,-1.0,-1.0,-1,-1,0.0
280,121.280868,31.328272,121.25861,31.33413,368.69014712475854,True,1959.463753661956,1959.463753661956,2196.6577407698446,2695.149863362116,237.1939871078887,498.49212259227124,1.3520625014792975
281,121.21673999999999,31.3192,121.19811000000001,31.314059999999998,309.958811976244,True,1963.4160284779578,1963.4160284779578,2195.388180853933,2505.3469928301774,231.97215237597538,309.9588119762443,1.0000000000000009
282,121.25694299999999,31.33646,121.2485,31.32263,289.0598085266014,True,1965.2381445627982,1965.2381445627982,2278.3758124075575,2567.435620934159,313.13766784475933,289.0598085266015,1.0000000000000004
283,121.33401,31.34688,121.27584399999999,31.407607000000002,1453.8085436670938,True,1977.5797883370242,1977.5797883370242,2400.9704408494244,4158.656924464234,423.39065251240027,1757.6864836148097,1.2090219797313977
