slon,slat,elon,elat,lambda,cum_lambda
121.326576,31.299646,121.32772,31.32619,0.004149378,0.414937759
121.25177,31.40696,121.24557,31.38444,0.004149378,0.419087137
121.29498,31.34891,121.27033,31.33157,0.004149378,0.423236515
121.25666,31.3638,121.2613,31.34587,0.004149378,0.427385892
121.27842,31.32935,121.23502,31.37656,0.004149378,0.43153527
121.27723,31.373602,121.3257,31.34748,0.004149378,0.435684647
121.32202,31.31419,121.323511,31.296995,0.004149378,0.439834025
121.23486,31.39357,121.269627,31.404042,0.004149378,0.443983402
121.25801,31.40928,121.22625,31.37625,0.004149378,0.44813278
121.309586,31.29125,121.2976,31.27152,0.004149378,0.452282158
121.26611,31.40372,121.255054,31.383373,0.004149378,0.456431535
121.29291,31.3791,121.25577,31.36991,0.004149378,0.460580913
121.30638,31.29392,121.31786,31.31089,0.004149378,0.46473029
121.2067,31.41154,121.22814,31.3762,0.004149378,0.468879668
121.22641,31.32983,121.25935,31.35372,0.004149378,0.473029046
121.2852,31.35733,121.24288,31.38188,0.004149378,0.477178423
121.251579,31.368692,121.27762,31.38053,0.004149378,0.481327801
121.25534,31.42982,121.25806,31.39975,0.004149378,0.485477178
121.20765,31.40125,121.23432,31.37617,0.004149378,0.489626556
121.298599,31.314011,121.30635,31.29121,0.004149378,0.493775934
121.288882,31.354377,121.29801,31.374912,0.004149378,0.497925311
121.27789,31.38736,121.26203,31.36021,0.004149378,0.502074689
121.264069,31.421749,121.25361,31.37373,0.004149378,0.506224066
121.252769,31.341002,121.26148,31.38563,0.004149378,0.510373444
121.253466,31.384242,121.19935,31.41101,0.004149378,0.514522822
121.3097,31.2852,121.32491,31.28976,0.004149378,0.518672199
121.2609,31.36649,121.24374,31.40357,0.004149378,0.522821577
121.25625,31.38843,121.27906,31.3847,0.004149378,0.526970954
121.280754,31.418125,121.237229,31.391367,0.004149378,0.531120332
121.221794,31.302523,121.200376,31.293736,0.004149378,0.53526971
121.31869,31.29724,121.29928,31.28397,0.004149378,0.539419087
121.32148,31.29707,121.30133,31.3067,0.004149378,0.543568465
121.244186,31.339766,121.2956,31.29742,0.004149378,0.547717842
121.245102,31.386698,121.2558,31.38382,0.004149378,0.55186722
121.274811,31.406288,121.25871,31.36853,0.004149378,0.556016598
121.227699,31.318209,121.23474,31.30055,0.004149378,0.560165975
121.28481,31.2914,121.32171,31.29499,0.004149378,0.564315353
121.30615,31.32656,121.27563,31.31934,0.004149378,0.56846473
121.210411,31.270121,121.26844,31.27401,0.004149378,0.572614108
121.2813,31.33066,121.28432,31.29891,0.004149378,0.576763485
121.25438,31.32956,121.22415,31.29378,0.004149378,0.580912863
121.18187,31.28687,121.21301,31.27149,0.004149378,0.585062241
121.27738,31.3866,121.25513,31.38211,0.004149378,0.589211618
121.26303,31.32433,121.27599,31.351258,0.004149378,0.593360996
121.25815,31.34749,121.25416,31.36757,0.004149378,0.597510373
121.253288,31.383921,121.25474,31.36255,0.004149378,0.601659751
121.24497,31.37922,121.24673,31.38897,0.004149378,0.605809129
121.252747,31.376034,121.237229,31.391367,0.004149378,0.609958506
121.276162,31.319875,121.28069,31.3306,0.004149378,0.614107884
121.32348,31.29225,121.31712,31.2965,0.004149378,0.618257261
121.240952,31.388462,121.27013,31.33264,0.004149378,0.622406639
121.318207,31.311556,121.323511,31.296995,0.004149378,0.626556017
121.25535,31.34628,121.26565,31.36005,0.004149378,0.630705394
121.23959,31.3491,121.2613,31.34587,0.004149378,0.634854772
121.25841,31.39722,121.24505,31.383701,0.004149378,0.639004149
121.266823,31.410971,121.25207,31.38416,0.004149378,0.643153527
121.29578,31.37804,121.21041,31.26798,0.004149378,0.647302905
121.234028,31.36154,121.245359,31.345457,0.004149378,0.651452282
121.258621,31.345951,121.254417,31.330149,0.004149378,0.65560166
121.25538,31.34631,121.24829,31.35429,0.004149378,0.659751037
121.21539,31.26706,121.22631,31.28668,0.004149378,0.663900415
121.258713,31.347218,121.26398,31.32282,0.004149378,0.668049793
121.30955,31.29315,121.32364,31.30387,0.004149378,0.67219917
121.28042,31.33915,121.28116,31.32296,0.004149378,0.676348548
121.2647,31.29894,121.27639,31.32841,0.004149378,0.680497925
121.264847,31.32579,121.276887,31.319613,0.004149378,0.684647303
121.24706,31.37377,121.27704,31.37331,0.004149378,0.68879668
121.257584,31.369036,121.287209,31.37831,0.004149378,0.692946058
121.23092,31.35467,121.25378,31.33084,0.004149378,0.697095436
121.19928,31.41095,121.23649,31.39091,0.004149378,0.701244813
121.20671,31.4115,121.24558,31.38443,0.004149378,0.705394191
121.299431,31.312357,121.28241,31.33088,0.004149378,0.709543568
121.32473,31.32752,121.31774,31.31121,0.004149378,0.713692946
121.199402,31.41061,121.227924,31.377118,0.004149378,0.717842324
121.24464,31.383407,121.25574,31.3518,0.004149378,0.721991701
121.26532,31.38111,121.25513,31.38211,0.004149378,0.726141079
121.251694,31.421341,121.24177,31.374963,0.004149378,0.730290456
121.19129,31.26172,121.2136,31.2655,0.004149378,0.734439834
121.24325,31.38228,121.25678,31.35123,0.004149378,0.738589212
121.268494,31.414909,121.251921,31.428109,0.004149378,0.742738589
121.228432,31.31809,121.265091,31.333999,0.004149378,0.746887967
121.3214,31.2971,121.30159,31.30884,0.004149378,0.751037344
121.29705,31.34561,121.31905,31.30936,0.004149378,0.755186722
121.25407,31.3307,121.26227,31.35145,0.004149378,0.7593361
121.226929,31.386629,121.25175,31.38615,0.004149378,0.763485477
121.26852,31.37828,121.26315,31.39315,0.004149378,0.767634855
121.27785,31.38442,121.2323,31.36747,0.004149378,0.771784232
121.2372,31.39137,121.25586,31.38368,0.004149378,0.77593361
121.31687,31.27076,121.2671,31.2705,0.004149378,0.780082988
121.3216,31.29668,121.263458,31.287218,0.004149378,0.784232365
121.23824,31.39153,121.25467,31.38297,0.004149378,0.788381743
121.228065,31.316513,121.2209,31.32332,0.004149378,0.79253112
121.3235,31.296999,121.3334,31.316389,0.004149378,0.796680498
121.200378,31.293736,121.19786,31.30585,0.004149378,0.800829876
121.24973,31.40139,121.27466,31.37608,0.004149378,0.804979253
121.248909,31.377121,121.25988,31.364366,0.004149378,0.809128631
121.29809,31.31294,121.30739,31.33335,0.004149378,0.813278008
121.21483,31.31925,121.27639,31.32841,0.004149378,0.817427386
121.25478,31.32955,121.2613,31.34587,0.004149378,0.821576763
121.18188,31.28496,121.18113,31.31037,0.004149378,0.825726141
121.318,31.31107,121.30149,31.3088,0.004149378,0.829875519
121.28152,31.32687,121.25607,31.35085,0.004149378,0.834024896
121.3191,31.29148,121.27842,31.32927,0.004149378,0.838174274
121.25513,31.34444,121.26569,31.32327,0.004149378,0.842323651
121.32139,31.2971,121.31823,31.316,0.004149378,0.846473029
121.25808,31.40745,121.277891,31.38736,0.004149378,0.850622407
121.27457,31.37633,121.22606,31.38566,0.004149378,0.854771784
121.321696,31.296735,121.31593,31.30924,0.004149378,0.858921162
121.2345,31.39802,121.27618,31.39207,0.004149378,0.863070539
121.21838,31.31777,121.25851,31.35674,0.004149378,0.867219917
121.32146,31.3068,121.28474,31.33217,0.004149378,0.871369295
121.219193,31.40987,121.237229,31.391367,0.004149378,0.875518672
121.264639,31.29671,121.254417,31.330149,0.004149378,0.87966805
121.232702,31.381088,121.2613,31.34587,0.004149378,0.883817427
121.24761,31.3698,121.25474,31.38252,0.004149378,0.887966805
121.21969,31.3829,121.27789,31.38736,0.004149378,0.892116183
121.333078,31.398949,121.33245,31.41417,0.004149378,0.89626556
121.31979,31.28848,121.30743,31.29771,0.004149378,0.900414938
121.31832,31.31053,121.32171,31.29499,0.004149378,0.904564315
121.32351,31.296995,121.310169,31.311621,0.004149378,0.908713693
121.23713,31.35137,121.2613,31.34587,0.004149378,0.912863071
121.24611,31.37847,121.2421,31.36453,0.004149378,0.917012448
121.27859,31.38121,121.286983,31.381349,0.004149378,0.921161826
121.261902,31.360189,121.24353,31.38219,0.004149378,0.925311203
121.25835,31.36836,121.24294,31.3674,0.004149378,0.929460581
121.228401,31.364408,121.257499,31.36822,0.004149378,0.933609959
121.324097,31.261379,121.31653,31.25971,0.004149378,0.937759336
121.19976,31.405287,121.237229,31.391367,0.004149378,0.941908714
121.31424,31.29195,121.32171,31.29499,0.004149378,0.946058091
121.18307,31.401921,121.20686,31.40133,0.004149378,0.950207469
121.2526,31.37609,121.237229,31.391367,0.004149378,0.954356846
121.179712,31.356013,121.22854,31.37635,0.004149378,0.958506224
121.2955,31.27187,121.28203,31.27385,0.004149378,0.962655602
121.254478,31.418054,121.25618,31.40554,0.004149378,0.966804979
121.331734,31.31575,121.30828,31.29073,0.004149378,0.970954357
121.180953,31.338669,121.17483,31.35773,0.004149378,0.975103734
121.254,31.36971,121.27908,31.38471,0.004149378,0.979253112
121.277367,31.349536,121.25774,31.36896,0.004149378,0.98340249
121.297929,31.293411,121.32143,31.29709,0.004149378,0.987551867
121.25621,31.35132,121.27047,31.351403,0.004149378,0.991701245
121.26417,31.30199,121.29412,31.3004,0.004149378,0.995850622
121.269363,31.382004,121.23997,31.38616,0.004149378,1
